Longitude,Latitude,Accuracy,Altitude,Time,Easting,Northing
023.7789080,37.9754399,02.3000000,0229.0,2023-02-15T11:39:07.312000,480432.57,4202825.16
023.7789184,37.9754307,01.9000000,0229.0,2023-02-15T11:39:08.317000,480433.48,4202824.14
023.7789277,37.9754204,01.9800000,0229.0,2023-02-15T11:39:09.322000,480434.30,4202822.99
023.7789355,37.9754110,01.9000000,0229.0,2023-02-15T11:39:10.314000,480434.98,4202821.95
023.7789435,37.9754027,01.9800000,0229.0,2023-02-15T11:39:11.318000,480435.68,4202821.02
023.7789525,37.9753949,01.9800000,0230.0,2023-02-15T11:39:12.321000,480436.47,4202820.16
023.7789607,37.9753888,01.9800000,0230.0,2023-02-15T11:39:13.318000,480437.19,4202819.48
023.7789659,37.9753855,01.9000000,0230.0,2023-02-15T11:39:14.305000,480437.64,4202819.11
023.7789693,37.9753814,01.9800000,0230.0,2023-02-15T11:39:15.314000,480437.94,4202818.66
023.7789728,37.9753737,01.9800000,0230.0,2023-02-15T11:39:16.319000,480438.25,4202817.80
023.7789780,37.9753653,01.9000000,0231.0,2023-02-15T11:39:17.318000,480438.70,4202816.87
023.7789858,37.9753574,01.5000000,0230.0,2023-02-15T11:39:18.318000,480439.38,4202815.99
023.7789942,37.9753521,01.5000000,0231.0,2023-02-15T11:39:19.318000,480440.12,4202815.40
023.7790019,37.9753460,01.5000000,0231.0,2023-02-15T11:39:20.317000,480440.80,4202814.72
023.7790064,37.9753404,01.5000000,0231.0,2023-02-15T11:39:21.316000,480441.19,4202814.10
023.7790109,37.9753362,01.9000000,0231.0,2023-02-15T11:39:22.315000,480441.58,4202813.63
023.7790173,37.9753313,01.9800000,0231.0,2023-02-15T11:39:23.318000,480442.14,4202813.09
023.7790267,37.9753242,01.9800000,0231.0,2023-02-15T11:39:24.318000,480442.97,4202812.30
023.7790360,37.9753176,01.9800000,0230.0,2023-02-15T11:39:25.318000,480443.78,4202811.56
023.7790431,37.9753111,01.9000000,0231.0,2023-02-15T11:39:26.314000,480444.40,4202810.84
023.7790502,37.9753040,02.3000000,0231.0,2023-02-15T11:39:27.312000,480445.03,4202810.05
